accountId,transactionId,date,transactionType,amount,balance,category,description,paymentMethod,merchantName,debit,credit
ACC001,FIN001,2024-01-15,debit,150.00,4850.00,groceries,Weekly grocery shopping,debit_card,SuperMart,150.00,0.00
ACC001,FIN002,2024-01-16,credit,2500.00,7350.00,salary,Monthly salary deposit,direct_deposit,Employer Inc,0.00,2500.00
ACC001,FIN003,2024-01-17,debit,45.50,7304.50,utilities,Electric bill payment,auto_pay,Power Company,45.50,0.00
ACC001,FIN004,2024-01-18,debit,1200.00,6104.50,rent,Monthly rent payment,check,Property Management,1200.00,0.00
ACC001,FIN005,2024-01-19,debit,35.75,6068.75,dining,Restaurant dinner,credit_card,Italian Bistro,35.75,0.00
ACC002,FIN006,2024-01-15,credit,3200.00,8200.00,salary,Bi-weekly paycheck,direct_deposit,Tech Corp,0.00,3200.00
ACC002,FIN007,2024-01-16,debit,89.99,8110.01,shopping,Online purchase,credit_card,Amazon,89.99,0.00
ACC002,FIN008,2024-01-17,debit,500.00,7610.01,investment,Monthly investment contribution,transfer,Investment Account,500.00,0.00
ACC002,FIN009,2024-01-18,debit,75.25,7534.76,gas,Fuel purchase,debit_card,Shell Station,75.25,0.00
ACC002,FIN010,2024-01-19,debit,125.00,7409.76,entertainment,Concert tickets,credit_card,Ticketmaster,125.00,0.00
ACC003,FIN011,2024-01-20,debit,200.00,3800.00,groceries,Monthly grocery shopping,debit_card,Whole Foods,200.00,0.00
ACC003,FIN012,2024-01-21,credit,1850.00,5650.00,salary,Weekly salary,direct_deposit,Retail Co,0.00,1850.00
ACC003,FIN013,2024-01-22,debit,65.00,5585.00,utilities,Internet bill,auto_pay,ISP Provider,65.00,0.00
ACC003,FIN014,2024-01-23,debit,45.80,5539.20,dining,Lunch meeting,credit_card,Cafe Downtown,45.80,0.00
ACC003,FIN015,2024-01-24,debit,250.00,5289.20,healthcare,Doctor appointment,debit_card,Medical Center,250.00,0.00
ACC004,FIN016,2024-01-20,credit,4200.00,9200.00,salary,Monthly salary,direct_deposit,Finance Inc,0.00,4200.00
ACC004,FIN017,2024-01-21,debit,1500.00,7700.00,loan,Student loan payment,auto_pay,Student Loans Corp,1500.00,0.00
ACC004,FIN018,2024-01-22,debit,120.50,7579.50,shopping,Clothing purchase,credit_card,Nordstrom,120.50,0.00
ACC004,FIN019,2024-01-23,debit,85.00,7494.50,transportation,Metro card refill,debit_card,Transit Authority,85.00,0.00
ACC004,FIN020,2024-01-24,debit,55.30,7439.20,groceries,Corner store,cash,Quick Mart,55.30,0.00
ACC005,FIN021,2024-01-25,debit,175.00,2825.00,utilities,Water and sewage,auto_pay,City Utilities,175.00,0.00
ACC005,FIN022,2024-01-26,credit,2100.00,4925.00,salary,Salary deposit,direct_deposit,Healthcare Systems,0.00,2100.00
ACC005,FIN023,2024-01-27,debit,350.00,4575.00,insurance,Car insurance premium,auto_pay,Insurance Co,350.00,0.00
ACC005,FIN024,2024-01-28,debit,95.45,4479.55,dining,Family dinner,credit_card,Steakhouse,95.45,0.00
ACC005,FIN025,2024-01-29,debit,40.00,4439.55,entertainment,Movie tickets,debit_card,Cinema Complex,40.00,0.00
ACC001,FIN026,2024-01-30,debit,180.00,5924.50,groceries,Monthly groceries,debit_card,Costco,180.00,0.00
ACC001,FIN027,2024-01-31,debit,50.00,5874.50,utilities,Mobile phone bill,auto_pay,Telecom Inc,50.00,0.00
ACC002,FIN028,2024-02-01,credit,3200.00,10609.76,salary,Bi-weekly paycheck,direct_deposit,Tech Corp,0.00,3200.00
ACC002,FIN029,2024-02-02,debit,450.00,10159.76,travel,Flight booking,credit_card,Airlines,450.00,0.00
ACC002,FIN030,2024-02-03,debit,25.99,10133.77,subscription,Streaming service,auto_pay,Netflix,25.99,0.00
ACC003,FIN031,2024-02-01,debit,110.00,5179.20,shopping,Home supplies,debit_card,Target,110.00,0.00
ACC003,FIN032,2024-02-02,credit,1850.00,7029.20,salary,Weekly salary,direct_deposit,Retail Co,0.00,1850.00
ACC003,FIN033,2024-02-03,debit,75.50,6953.70,gas,Fuel purchase,debit_card,BP Station,75.50,0.00
ACC004,FIN034,2024-02-04,debit,200.00,7239.20,education,Online course,credit_card,Udemy,200.00,0.00
ACC004,FIN035,2024-02-05,debit,65.25,7173.95,dining,Coffee shop,debit_card,Starbucks,65.25,0.00
ACC005,FIN036,2024-02-04,debit,125.00,4314.55,healthcare,Pharmacy prescription,debit_card,CVS Pharmacy,125.00,0.00
ACC005,FIN037,2024-02-05,debit,89.99,4224.56,shopping,Electronics,credit_card,Best Buy,89.99,0.00
ACC001,FIN038,2024-02-06,debit,30.00,5844.50,entertainment,Gym membership,auto_pay,Fitness Center,30.00,0.00
ACC001,FIN039,2024-02-07,debit,250.00,5594.50,personal,Birthday gift,credit_card,Jewelry Store,250.00,0.00
ACC002,FIN040,2024-02-08,debit,100.00,10033.77,donation,Charity contribution,online_transfer,Red Cross,100.00,0.00
ACC002,FIN041,2024-02-09,debit,55.00,9978.77,groceries,Quick shopping,debit_card,7-Eleven,55.00,0.00
ACC003,FIN042,2024-02-08,debit,800.00,6153.70,rent,Monthly rent,check,Landlord,800.00,0.00
ACC003,FIN043,2024-02-09,debit,42.30,6111.40,utilities,Gas bill,auto_pay,Gas Company,42.30,0.00
ACC004,FIN044,2024-02-10,credit,500.00,7673.95,interest,Interest earned,bank_interest,Bank,0.00,500.00
ACC004,FIN045,2024-02-11,debit,175.50,7498.45,shopping,Furniture item,credit_card,IKEA,175.50,0.00
ACC005,FIN046,2024-02-10,debit,60.00,4164.56,transportation,Uber rides,debit_card,Uber,60.00,0.00
ACC005,FIN047,2024-02-11,credit,2100.00,6264.56,salary,Salary deposit,direct_deposit,Healthcare Systems,0.00,2100.00
ACC001,FIN048,2024-02-12,debit,95.00,5499.50,utilities,Trash collection,auto_pay,Waste Management,95.00,0.00
ACC002,FIN049,2024-02-13,debit,320.00,9658.77,shopping,Electronics upgrade,credit_card,Apple Store,320.00,0.00
ACC003,FIN050,2024-02-14,debit,150.00,5961.40,entertainment,Valentine's Day dinner,credit_card,Fine Dining,150.00,0.00
