batchId,productionDate,plant,workcenter,machine,assemblyLine,unitsProduced,defects,yield,downtimeMinutes
BAT001,2025-11-03,Plant A,WC-101,M-001,Line 1,2400,18,99.25,12
BAT002,2025-11-03,Plant A,WC-102,M-002,Line 2,1850,32,98.27,28
BAT003,2025-11-04,Plant B,WC-201,M-005,Line 1,3100,12,99.61,8
BAT004,2025-11-04,Plant B,WC-202,M-006,Line 2,2750,45,98.36,35
BAT005,2025-11-05,Plant C,WC-301,M-009,Line 1,1950,22,98.87,18
BAT006,2025-11-05,Plant A,WC-101,M-001,Line 1,2520,15,99.40,10
BAT007,2025-11-06,Plant A,WC-103,M-003,Line 3,1620,28,98.27,42
BAT008,2025-11-06,Plant B,WC-201,M-005,Line 1,3050,8,99.74,5
BAT009,2025-11-07,Plant C,WC-302,M-010,Line 2,2120,38,98.21,32
BAT010,2025-11-07,Plant A,WC-102,M-002,Line 2,1920,29,98.49,25
BAT011,2025-11-10,Plant B,WC-203,M-007,Line 3,2380,21,99.12,16
BAT012,2025-11-10,Plant C,WC-301,M-009,Line 1,2080,17,99.18,14
BAT013,2025-11-11,Plant A,WC-101,M-001,Line 1,2460,11,99.55,6
BAT014,2025-11-11,Plant A,WC-103,M-003,Line 3,1580,34,97.85,48
BAT015,2025-11-12,Plant B,WC-202,M-006,Line 2,2890,40,98.62,30
BAT016,2025-11-12,Plant C,WC-302,M-010,Line 2,2180,24,98.90,20
BAT017,2025-11-13,Plant A,WC-102,M-002,Line 2,1880,31,98.35,29
BAT018,2025-11-13,Plant B,WC-201,M-005,Line 1,3220,7,99.78,4
BAT019,2025-11-14,Plant C,WC-303,M-011,Line 3,1740,26,98.51,22
BAT020,2025-11-14,Plant A,WC-101,M-001,Line 1,2510,13,99.48,9
BAT021,2025-11-17,Plant B,WC-203,M-007,Line 3,2410,19,99.21,15
BAT022,2025-11-17,Plant C,WC-301,M-009,Line 1,2030,20,99.02,17
BAT023,2025-11-18,Plant A,WC-103,M-003,Line 3,1640,30,98.17,38
BAT024,2025-11-18,Plant B,WC-202,M-006,Line 2,2820,36,98.72,26
BAT025,2025-11-19,Plant C,WC-302,M-010,Line 2,2240,23,98.97,19
BAT026,2025-11-19,Plant A,WC-102,M-002,Line 2,1960,26,98.67,23
BAT027,2025-11-20,Plant B,WC-201,M-005,Line 1,3150,9,99.71,6
BAT028,2025-11-20,Plant C,WC-303,M-011,Line 3,1810,28,98.45,24
BAT029,2025-11-21,Plant A,WC-101,M-001,Line 1,2470,14,99.43,11
BAT030,2025-11-21,Plant B,WC-203,M-007,Line 3,2350,22,99.06,18
BAT031,2025-11-24,Plant C,WC-301,M-009,Line 1,2110,16,99.24,13
BAT032,2025-11-24,Plant A,WC-103,M-003,Line 3,1690,33,98.05,40
BAT033,2025-11-25,Plant B,WC-202,M-006,Line 2,2900,42,98.55,28
BAT034,2025-11-25,Plant C,WC-302,M-010,Line 2,2200,21,99.05,17
BAT035,2025-11-26,Plant A,WC-102,M-002,Line 2,1900,27,98.58,24
BAT036,2025-11-26,Plant B,WC-201,M-005,Line 1,3190,10,99.69,7
BAT037,2025-11-27,Plant C,WC-303,M-011,Line 3,1780,29,98.37,26
BAT038,2025-11-27,Plant A,WC-101,M-001,Line 1,2540,12,99.53,8
BAT039,2025-11-28,Plant B,WC-203,M-007,Line 3,2420,18,99.26,14
BAT040,2025-11-28,Plant C,WC-301,M-009,Line 1,2060,19,99.08,15
BAT041,2025-12-01,Plant A,WC-103,M-003,Line 3,1610,31,98.07,41
BAT042,2025-12-01,Plant B,WC-202,M-006,Line 2,2860,39,98.64,27
BAT043,2025-12-02,Plant C,WC-302,M-010,Line 2,2250,24,98.93,21
BAT044,2025-12-02,Plant A,WC-102,M-002,Line 2,1940,28,98.56,22
BAT045,2025-12-03,Plant B,WC-201,M-005,Line 1,3230,8,99.75,5
BAT046,2025-12-03,Plant C,WC-303,M-011,Line 3,1820,27,98.52,23
BAT047,2025-12-04,Plant A,WC-101,M-001,Line 1,2490,15,99.40,10
BAT048,2025-12-04,Plant B,WC-203,M-007,Line 3,2390,20,99.16,16
BAT049,2025-12-05,Plant C,WC-301,M-009,Line 1,2090,17,99.19,14
BAT050,2025-12-05,Plant A,WC-103,M-003,Line 3,1670,32,98.09,39
