flightId,departureDate,airline,originAirport,destinationAirport,aircraftType,durationMinutes,ticketFare,seatsBooked,fuelLiters
FLT001,2026-03-01,Delta,JFK,LAX,Boeing 737,355,425.50,168,18500
FLT002,2026-03-01,United,ORD,SFO,Airbus A320,265,310.75,142,14200
FLT003,2026-03-01,American,DFW,MIA,Boeing 787,180,265.40,221,16800
FLT004,2026-03-02,JetBlue,BOS,LAX,Airbus A321,372,455.20,180,19300
FLT005,2026-03-02,Southwest,DEN,LAS,Boeing 737,95,189.30,156,9800
FLT006,2026-03-02,Delta,ATL,SEA,Airbus A350,310,398.65,235,20100
FLT007,2026-03-03,United,SFO,JFK,Boeing 757,335,389.45,178,17600
FLT008,2026-03-03,American,LAX,ORD,Boeing 737,245,285.10,162,15200
FLT009,2026-03-03,JetBlue,JFK,MIA,Embraer E190,165,225.80,98,9400
FLT010,2026-03-04,Southwest,LAS,DEN,Boeing 737,110,175.40,148,9900
FLT011,2026-03-04,Delta,LAX,JFK,Boeing 767,340,415.25,185,18900
FLT012,2026-03-04,United,SFO,ORD,Airbus A320,260,295.60,138,14100
FLT013,2026-03-05,American,MIA,DFW,Boeing 737,195,275.90,156,11400
FLT014,2026-03-05,JetBlue,LAX,BOS,Airbus A321,338,438.10,176,19000
FLT015,2026-03-05,Southwest,LAS,PHX,Boeing 737,75,145.20,142,7400
FLT016,2026-03-06,Delta,SEA,ATL,Airbus A350,295,385.40,228,19700
FLT017,2026-03-06,United,JFK,SFO,Boeing 757,348,395.30,182,17900
FLT018,2026-03-06,American,ORD,LAX,Boeing 737,255,290.45,165,15400
FLT019,2026-03-07,JetBlue,MIA,JFK,Embraer E190,175,240.60,102,9700
FLT020,2026-03-07,Southwest,DEN,LAS,Boeing 737,98,182.50,154,9750
FLT021,2026-03-08,Delta,JFK,ATL,Boeing 737,155,210.80,164,11800
FLT022,2026-03-08,United,ORD,DEN,Airbus A320,160,225.40,138,11900
FLT023,2026-03-08,American,DFW,SEA,Boeing 787,225,340.20,228,17400
FLT024,2026-03-09,JetBlue,BOS,JFK,Embraer E190,85,165.30,94,5600
FLT025,2026-03-09,Southwest,PHX,LAS,Boeing 737,72,138.90,140,7200
FLT026,2026-03-10,Delta,ATL,JFK,Boeing 737,150,205.60,166,11600
FLT027,2026-03-10,United,DEN,ORD,Airbus A320,165,228.70,140,12100
FLT028,2026-03-10,American,SEA,DFW,Boeing 787,235,355.40,232,17800
FLT029,2026-03-11,JetBlue,JFK,BOS,Embraer E190,82,158.40,92,5500
FLT030,2026-03-11,Southwest,LAS,PHX,Boeing 737,78,142.30,144,7350
FLT031,2026-03-12,Delta,LAX,SEA,Airbus A350,165,255.80,222,12800
FLT032,2026-03-12,United,SFO,DEN,Boeing 757,145,235.10,176,11500
FLT033,2026-03-12,American,MIA,ATL,Boeing 737,115,195.20,158,8400
FLT034,2026-03-13,JetBlue,BOS,DCA,Embraer E190,90,168.50,96,5800
FLT035,2026-03-13,Southwest,PHX,DEN,Boeing 737,125,198.60,150,9100
FLT036,2026-03-14,Delta,SEA,LAX,Airbus A350,170,260.40,225,13000
FLT037,2026-03-14,United,DEN,SFO,Boeing 757,150,240.30,178,11700
FLT038,2026-03-14,American,ATL,MIA,Boeing 737,118,198.40,160,8500
FLT039,2026-03-15,JetBlue,DCA,BOS,Embraer E190,88,162.10,94,5750
FLT040,2026-03-15,Southwest,DEN,PHX,Boeing 737,128,201.30,152,9250
FLT041,2026-03-16,Delta,JFK,MIA,Boeing 737,180,255.40,170,12600
FLT042,2026-03-16,United,ORD,SFO,Airbus A320,270,320.50,144,14500
FLT043,2026-03-16,American,DFW,LAX,Boeing 737,195,275.30,166,12100
FLT044,2026-03-17,JetBlue,LAX,JFK,Airbus A321,330,420.80,178,18500
FLT045,2026-03-17,Southwest,LAS,SEA,Boeing 737,165,235.40,148,11000
FLT046,2026-03-18,Delta,ATL,SFO,Airbus A350,310,395.20,232,20000
FLT047,2026-03-18,United,SFO,LAX,Boeing 737,85,165.80,158,5400
FLT048,2026-03-18,American,MIA,ORD,Boeing 737,205,290.10,162,12800
FLT049,2026-03-19,JetBlue,JFK,LAX,Airbus A321,365,448.50,180,19200
FLT050,2026-03-19,Southwest,SEA,LAS,Boeing 737,170,240.60,150,11200
